date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,playoff
2025-06-28,13h,Palmeiras,6.0,1.0,x,1.0,5.0,Atlético de Madrid,Gabãox,oitavas
2025-06-28,17h,Bayern de Munique,,2.0,x,0.0,,Flamengo,Gabãox,oitavas
2025-06-29,13h,Paris Saint-Germain,,3.0,x,1.0,,Inter Miami,Gabãox,oitavas
2025-06-29,17h,Chelsea,4.0,1.0,x,1.0,3.0,Benfica,Gabãox,oitavas
2025-06-30,16h,Internazionale,,1.0,x,0.0,,Fluminense,Gabãox,oitavas
2025-06-30,22h,Manchester City,,3.0,x,2.0,,RB Salzburg,Gabãox,oitavas
2025-07-01,16h,Real Madrid,,3.0,x,1.0,,Juventus,Gabãox,oitavas
2025-07-01,22h,Borussia Dortmund,,2.0,x,1.0,,River Plate,Gabãox,oitavas
2025-07-04,16h,Internazionale,,1.0,x,3.0,,Manchester City,Gabãox,quartas
2025-07-04,22h,Palmeiras,,0.0,x,2.0,,Bayern de Munique,Gabãox,quartas
2025-07-05,13h,Paris Saint-Germain,,2.0,x,0.0,,Chelsea,Gabãox,quartas
2025-07-05,17h,Borussia Dortmund,,1.0,x,2.0,,Real Madrid,Gabãox,quartas
2025-07-08,16h,Bayern de Munique,4.0,1.0,x,1.0,5.0,Manchester City,Gabãox,semi
2025-07-09,16h,Paris Saint-Germain,,1.0,x,2.0,,Real Madrid,Gabãox,semi
2025-07-13,16h,Manchester City,,0.0,x,2.0,,Real Madrid,Gabãox,final
