boleiro,phase,team
Guilherme,oitavas,Palmeiras
Guilherme,oitavas,Bayern de Munique
Guilherme,oitavas,Paris Saint-Germain
Guilherme,oitavas,Chelsea
Guilherme,oitavas,Internazionale
Guilherme,oitavas,Manchester City
Guilherme,oitavas,Real Madrid
Guilherme,oitavas,Borussia Dortmund
Guilherme,quartas,Internazionale
Guilherme,quartas,Atlético de Madrid
Guilherme,quartas,Paris Saint-Germain
Guilherme,quartas,Borussia Dortmund
Guilherme,semi,Bayern de Munique
Guilherme,semi,Paris Saint-Germain
Guilherme,final,Bayern de Munique
