date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,playoff
2025-06-28,13h,Palmeiras,,1.0,x,2.0,,Atlético de Madrid,Andre Bonito,oitavas
2025-06-28,17h,Bayern de Munique,,1.0,x,0.0,,Flamengo,Andre Bonito,oitavas
2025-06-29,13h,Paris Saint-Germain,,3.0,x,0.0,,Porto,Andre Bonito,oitavas
2025-06-29,17h,Chelsea,1.0,1.0,x,1.0,0.0,Benfica,Andre Bonito,oitavas
2025-06-30,16h,Internazionale,,2.0,x,1.0,,Fluminense,Andre Bonito,oitavas
2025-06-30,22h,Manchester City,,3.0,x,0.0,,Al-Hilal,Andre Bonito,oitavas
2025-07-01,16h,Real Madrid,,3.0,x,0.0,,Al-Ain,Andre Bonito,oitavas
2025-07-01,22h,Borussia Dortmund,,1.0,x,2.0,,River Plate,Andre Bonito,oitavas
2025-07-04,16h,Internazionale,,0.0,x,2.0,,Manchester City,Andre Bonito,quartas
2025-07-04,22h,Atlético de Madrid,,1.0,x,2.0,,Bayern de Munique,Andre Bonito,quartas
2025-07-05,13h,Paris Saint-Germain,,2.0,x,1.0,,Chelsea,Andre Bonito,quartas
2025-07-05,17h,River Plate,,0.0,x,2.0,,Real Madrid,Andre Bonito,quartas
2025-07-08,16h,Bayern de Munique,,1.0,x,2.0,,Manchester City,Andre Bonito,semi
2025-07-09,16h,Paris Saint-Germain,,2.0,x,1.0,,Real Madrid,Andre Bonito,semi
2025-07-13,16h,Manchester City,,2.0,x,0.0,,Paris Saint-Germain,Andre Bonito,final
