date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,playoff
2025-06-28,13h,Palmeiras,,0.0,x,1.0,,Atlético de Madrid,Guilherme,oitavas
2025-06-28,17h,Bayern de Munique,1.0,1.0,x,0.0,0.0,Flamengo,Guilherme,oitavas
2025-06-29,13h,Paris Saint-Germain,1.0,1.0,x,0.0,0.0,Porto,Guilherme,oitavas
2025-06-29,17h,Chelsea,1.0,1.0,x,0.0,0.0,Boca Juniors,Guilherme,oitavas
2025-06-30,16h,Internazionale,1.0,1.0,x,0.0,0.0,Fluminense,Guilherme,oitavas
2025-06-30,22h,Manchester City,1.0,1.0,x,0.0,0.0,RB Salzburg,Guilherme,oitavas
2025-07-01,16h,Real Madrid,1.0,1.0,x,0.0,0.0,Juventus,Guilherme,oitavas
2025-07-01,22h,Borussia Dortmund,1.0,1.0,x,0.0,0.0,River Plate,Guilherme,oitavas
2025-07-04,16h,Internazionale,,0.0,x,1.0,,Manchester City,Guilherme,quartas
2025-07-04,22h,Atlético de Madrid,,0.0,x,1.0,,Bayern de Munique,Guilherme,quartas
2025-07-05,13h,Paris Saint-Germain,,1.0,x,0.0,,Chelsea,Guilherme,quartas
2025-07-05,17h,Borussia Dortmund,,0.0,x,1.0,,Real Madrid,Guilherme,quartas
2025-07-08,16h,Bayern de Munique,,1.0,x,0.0,,Manchester City,Guilherme,semi
2025-07-09,16h,Paris Saint-Germain,,1.0,x,0.0,,Real Madrid,Guilherme,semi
2025-07-13,16h,Bayern de Munique,,0.0,x,1.0,,Paris Saint-Germain,Guilherme,final
