date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,playoff
2025-06-28,13h,Porto,,1.0,x,3.0,,Atlético de Madrid,Marcelo,oitavas
2025-06-28,17h,Bayern de Munique,,3.0,x,1.0,,Flamengo,Marcelo,oitavas
2025-06-29,13h,Paris Saint-Germain,,3.0,x,0.0,,Palmeiras,Marcelo,oitavas
2025-06-29,17h,Chelsea,,2.0,x,0.0,,Benfica,Marcelo,oitavas
2025-06-30,16h,Internazionale,,2.0,x,0.0,,Fluminense,Marcelo,oitavas
2025-06-30,22h,Manchester City,,2.0,x,1.0,,Al-Hilal,Marcelo,oitavas
2025-07-01,16h,Real Madrid,,3.0,x,1.0,,Juventus,Marcelo,oitavas
2025-07-01,22h,Borussia Dortmund,,2.0,x,0.0,,River Plate,Marcelo,oitavas
2025-07-04,16h,Internazionale,,3.0,x,2.0,,Manchester City,Marcelo,quartas
2025-07-04,22h,Atlético de Madrid,,1.0,x,2.0,,Bayern de Munique,Marcelo,quartas
2025-07-05,13h,Paris Saint-Germain,,2.0,x,0.0,,Chelsea,Marcelo,quartas
2025-07-05,17h,Borussia Dortmund,,1.0,x,2.0,,Real Madrid,Marcelo,quartas
2025-07-08,16h,Bayern de Munique,,2.0,x,1.0,,Internazionale,Marcelo,semi
2025-07-09,16h,Paris Saint-Germain,,2.0,x,1.0,,Real Madrid,Marcelo,semi
2025-07-13,16h,Bayern de Munique,,1.0,x,2.0,,Paris Saint-Germain,Marcelo,final
