date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,playoff
2025-06-28,13h,Palmeiras,,0.0,x,1.0,,Atlético de Madrid,thiago bahiensex,oitavas
2025-06-28,17h,Bayern de Munique,,3.0,x,1.0,,Flamengo,thiago bahiensex,oitavas
2025-06-29,13h,Paris Saint-Germain,,2.0,x,0.0,,Porto,thiago bahiensex,oitavas
2025-06-29,17h,Chelsea,,2.0,x,1.0,,Boca Juniors,thiago bahiensex,oitavas
2025-06-30,16h,Internazionale,,2.0,x,0.0,,Fluminense,thiago bahiensex,oitavas
2025-06-30,22h,Manchester City,,3.0,x,1.0,,Pachuca,thiago bahiensex,oitavas
2025-07-01,16h,Real Madrid,,3.0,x,1.0,,Juventus,thiago bahiensex,oitavas
2025-07-01,22h,Borussia Dortmund,,1.0,x,0.0,,River Plate,thiago bahiensex,oitavas
2025-07-04,16h,Internazionale,,1.0,x,2.0,,Manchester City,thiago bahiensex,quartas
2025-07-04,22h,Atlético de Madrid,,0.0,x,1.0,,Bayern de Munique,thiago bahiensex,quartas
2025-07-05,13h,Paris Saint-Germain,3.0,1.0,x,1.0,4.0,Chelsea,thiago bahiensex,quartas
2025-07-05,17h,Borussia Dortmund,,1.0,x,3.0,,Real Madrid,thiago bahiensex,quartas
2025-07-08,16h,Bayern de Munique,,0.0,x,1.0,,Manchester City,thiago bahiensex,semi
2025-07-09,16h,Chelsea,,1.0,x,0.0,,Real Madrid,thiago bahiensex,semi
2025-07-13,16h,Manchester City,,2.0,x,1.0,,Chelsea,thiago bahiensex,final
