boleiro,phase,team
Ditchos,campeao,Espanha
Ditchos,segunda_fase,República Tcheca
Ditchos,segunda_fase,Canadá
Ditchos,segunda_fase,Brasil
Ditchos,segunda_fase,Japão
Ditchos,segunda_fase,Alemanha
Ditchos,segunda_fase,Austrália
Ditchos,segunda_fase,Holanda
Ditchos,segunda_fase,Marrocos
Ditchos,segunda_fase,Costa do Marfim
Ditchos,segunda_fase,Senegal
Ditchos,segunda_fase,França
Ditchos,segunda_fase,Suécia
Ditchos,segunda_fase,México
Ditchos,segunda_fase,Escócia
Ditchos,segunda_fase,Inglaterra
Ditchos,segunda_fase,Noruega
Ditchos,segunda_fase,Bélgica
Ditchos,segunda_fase,Coréia do Sul
Ditchos,segunda_fase,Estados Unidos
Ditchos,segunda_fase,Argélia
Ditchos,segunda_fase,Espanha
Ditchos,segunda_fase,Áustria
Ditchos,segunda_fase,Colômbia
Ditchos,segunda_fase,Croácia
Ditchos,segunda_fase,Suíça
Ditchos,segunda_fase,Irã
Ditchos,segunda_fase,Turquia
Ditchos,segunda_fase,Egito
Ditchos,segunda_fase,Argentina
Ditchos,segunda_fase,Uruguai
Ditchos,segunda_fase,Portugal
Ditchos,segunda_fase,Equador
Ditchos,oitavas,Canadá
Ditchos,oitavas,Holanda
Ditchos,oitavas,Alemanha
Ditchos,oitavas,França
Ditchos,oitavas,Brasil
Ditchos,oitavas,Senegal
Ditchos,oitavas,México
Ditchos,oitavas,Inglaterra
Ditchos,oitavas,Croácia
Ditchos,oitavas,Espanha
Ditchos,oitavas,Estados Unidos
Ditchos,oitavas,Bélgica
Ditchos,oitavas,Argentina
Ditchos,oitavas,Turquia
Ditchos,oitavas,Suíça
Ditchos,oitavas,Portugal
Ditchos,quartas,França
Ditchos,quartas,Holanda
Ditchos,quartas,Espanha
Ditchos,quartas,Estados Unidos
Ditchos,quartas,Brasil
Ditchos,quartas,Inglaterra
Ditchos,quartas,Argentina
Ditchos,quartas,Portugal
Ditchos,semi,França
Ditchos,semi,Espanha
Ditchos,semi,Inglaterra
Ditchos,semi,Argentina
Ditchos,terceiro_lugar,França
Ditchos,terceiro_lugar,Argentina
Ditchos,final,Espanha
Ditchos,final,Inglaterra
