boleiro,phase,team
Gabão,segunda_fase,Coréia do Sul
Gabão,segunda_fase,Bósnia
Gabão,segunda_fase,Brasil
Gabão,segunda_fase,Japão
Gabão,segunda_fase,Alemanha
Gabão,segunda_fase,Paraguai
Gabão,segunda_fase,Holanda
Gabão,segunda_fase,Marrocos
Gabão,segunda_fase,Equador
Gabão,segunda_fase,Noruega
Gabão,segunda_fase,França
Gabão,segunda_fase,Suécia
Gabão,segunda_fase,México
Gabão,segunda_fase,Escócia
Gabão,segunda_fase,Inglaterra
Gabão,segunda_fase,Senegal
Gabão,segunda_fase,Bélgica
Gabão,segunda_fase,República Tcheca
Gabão,segunda_fase,Estados Unidos
Gabão,segunda_fase,Canadá
Gabão,segunda_fase,Espanha
Gabão,segunda_fase,Áustria
Gabão,segunda_fase,Colômbia
Gabão,segunda_fase,Croácia
Gabão,segunda_fase,Suíça
Gabão,segunda_fase,Costa do Marfim
Gabão,segunda_fase,Turquia
Gabão,segunda_fase,Egito
Gabão,segunda_fase,Argentina
Gabão,segunda_fase,Uruguai
Gabão,segunda_fase,Portugal
Gabão,segunda_fase,Gana
Gabão,oitavas,Bósnia
Gabão,oitavas,Holanda
Gabão,oitavas,Alemanha
Gabão,oitavas,França
Gabão,oitavas,Brasil
Gabão,oitavas,Equador
Gabão,oitavas,México
Gabão,oitavas,Inglaterra
Gabão,oitavas,Croácia
Gabão,oitavas,Espanha
Gabão,oitavas,Estados Unidos
Gabão,oitavas,Bélgica
Gabão,oitavas,Argentina
Gabão,oitavas,Turquia
Gabão,oitavas,Suíça
Gabão,oitavas,Portugal
Gabão,quartas,França
Gabão,quartas,Holanda
Gabão,quartas,Espanha
Gabão,quartas,Bélgica
Gabão,quartas,Brasil
Gabão,quartas,México
Gabão,quartas,Argentina
Gabão,quartas,Portugal
Gabão,semi,França
Gabão,semi,Espanha
Gabão,semi,Brasil
Gabão,semi,Argentina
Gabão,terceiro_lugar,Espanha
Gabão,terceiro_lugar,Brasil
Gabão,final,França
Gabão,final,Argentina
