boleiro,phase,team
Haroldo,campeao,Brasil
Haroldo,segunda_fase,México
Haroldo,segunda_fase,Canadá
Haroldo,segunda_fase,Brasil
Haroldo,segunda_fase,Japão
Haroldo,segunda_fase,Alemanha
Haroldo,segunda_fase,Escócia
Haroldo,segunda_fase,Holanda
Haroldo,segunda_fase,Marrocos
Haroldo,segunda_fase,Equador
Haroldo,segunda_fase,Noruega
Haroldo,segunda_fase,França
Haroldo,segunda_fase,Suécia
Haroldo,segunda_fase,Coréia do Sul
Haroldo,segunda_fase,Arábia Saudita
Haroldo,segunda_fase,Inglaterra
Haroldo,segunda_fase,Senegal
Haroldo,segunda_fase,Bélgica
Haroldo,segunda_fase,República Tcheca
Haroldo,segunda_fase,Estados Unidos
Haroldo,segunda_fase,Bósnia
Haroldo,segunda_fase,Espanha
Haroldo,segunda_fase,Áustria
Haroldo,segunda_fase,Colômbia
Haroldo,segunda_fase,Croácia
Haroldo,segunda_fase,Suíça
Haroldo,segunda_fase,Costa do Marfim
Haroldo,segunda_fase,Paraguai
Haroldo,segunda_fase,Irã
Haroldo,segunda_fase,Argentina
Haroldo,segunda_fase,Uruguai
Haroldo,segunda_fase,Portugal
Haroldo,segunda_fase,Turquia
Haroldo,oitavas,México
Haroldo,oitavas,Holanda
Haroldo,oitavas,Alemanha
Haroldo,oitavas,França
Haroldo,oitavas,Brasil
Haroldo,oitavas,Equador
Haroldo,oitavas,Coréia do Sul
Haroldo,oitavas,Inglaterra
Haroldo,oitavas,Colômbia
Haroldo,oitavas,Espanha
Haroldo,oitavas,Estados Unidos
Haroldo,oitavas,Bélgica
Haroldo,oitavas,Argentina
Haroldo,oitavas,Paraguai
Haroldo,oitavas,Suíça
Haroldo,oitavas,Portugal
Haroldo,quartas,França
Haroldo,quartas,Holanda
Haroldo,quartas,Espanha
Haroldo,quartas,Bélgica
Haroldo,quartas,Brasil
Haroldo,quartas,Inglaterra
Haroldo,quartas,Argentina
Haroldo,quartas,Portugal
Haroldo,semi,França
Haroldo,semi,Espanha
Haroldo,semi,Brasil
Haroldo,semi,Portugal
Haroldo,terceiro_lugar,França
Haroldo,terceiro_lugar,Portugal
Haroldo,final,Espanha
Haroldo,final,Brasil
