boleiro,phase,team
LLM GPT,campeao,França
LLM GPT,segunda_fase,República Tcheca
LLM GPT,segunda_fase,Canadá
LLM GPT,segunda_fase,Brasil
LLM GPT,segunda_fase,Japão
LLM GPT,segunda_fase,Alemanha
LLM GPT,segunda_fase,Paraguai
LLM GPT,segunda_fase,Holanda
LLM GPT,segunda_fase,Marrocos
LLM GPT,segunda_fase,Equador
LLM GPT,segunda_fase,Noruega
LLM GPT,segunda_fase,França
LLM GPT,segunda_fase,Suécia
LLM GPT,segunda_fase,México
LLM GPT,segunda_fase,Escócia
LLM GPT,segunda_fase,Inglaterra
LLM GPT,segunda_fase,Costa do Marfim
LLM GPT,segunda_fase,Bélgica
LLM GPT,segunda_fase,Coréia do Sul
LLM GPT,segunda_fase,Estados Unidos
LLM GPT,segunda_fase,Bósnia
LLM GPT,segunda_fase,Espanha
LLM GPT,segunda_fase,Áustria
LLM GPT,segunda_fase,Colômbia
LLM GPT,segunda_fase,Croácia
LLM GPT,segunda_fase,Suíça
LLM GPT,segunda_fase,Argélia
LLM GPT,segunda_fase,Turquia
LLM GPT,segunda_fase,Egito
LLM GPT,segunda_fase,Argentina
LLM GPT,segunda_fase,Uruguai
LLM GPT,segunda_fase,Portugal
LLM GPT,segunda_fase,Gana
LLM GPT,oitavas,Canadá
LLM GPT,oitavas,Holanda
LLM GPT,oitavas,Alemanha
LLM GPT,oitavas,França
LLM GPT,oitavas,Brasil
LLM GPT,oitavas,Noruega
LLM GPT,oitavas,México
LLM GPT,oitavas,Inglaterra
LLM GPT,oitavas,Croácia
LLM GPT,oitavas,Espanha
LLM GPT,oitavas,Estados Unidos
LLM GPT,oitavas,Bélgica
LLM GPT,oitavas,Argentina
LLM GPT,oitavas,Egito
LLM GPT,oitavas,Suíça
LLM GPT,oitavas,Portugal
LLM GPT,quartas,França
LLM GPT,quartas,Holanda
LLM GPT,quartas,Espanha
LLM GPT,quartas,Bélgica
LLM GPT,quartas,Brasil
LLM GPT,quartas,Inglaterra
LLM GPT,quartas,Argentina
LLM GPT,quartas,Portugal
LLM GPT,semi,França
LLM GPT,semi,Espanha
LLM GPT,semi,Inglaterra
LLM GPT,semi,Argentina
LLM GPT,terceiro_lugar,Espanha
LLM GPT,terceiro_lugar,Inglaterra
LLM GPT,final,França
LLM GPT,final,Argentina
