boleiro,phase,team
Tiago,segunda_fase,Coréia do Sul
Tiago,segunda_fase,Canadá
Tiago,segunda_fase,Brasil
Tiago,segunda_fase,Japão
Tiago,segunda_fase,Alemanha
Tiago,segunda_fase,Escócia
Tiago,segunda_fase,Holanda
Tiago,segunda_fase,Marrocos
Tiago,segunda_fase,Equador
Tiago,segunda_fase,Noruega
Tiago,segunda_fase,França
Tiago,segunda_fase,Paraguai
Tiago,segunda_fase,México
Tiago,segunda_fase,Costa do Marfim
Tiago,segunda_fase,Inglaterra
Tiago,segunda_fase,Senegal
Tiago,segunda_fase,Bélgica
Tiago,segunda_fase,Arábia Saudita
Tiago,segunda_fase,Estados Unidos
Tiago,segunda_fase,Bósnia
Tiago,segunda_fase,Espanha
Tiago,segunda_fase,Áustria
Tiago,segunda_fase,Colômbia
Tiago,segunda_fase,Croácia
Tiago,segunda_fase,Suíça
Tiago,segunda_fase,Argélia
Tiago,segunda_fase,Turquia
Tiago,segunda_fase,Egito
Tiago,segunda_fase,Argentina
Tiago,segunda_fase,Uruguai
Tiago,segunda_fase,Portugal
Tiago,segunda_fase,Gana
Tiago,oitavas,Coréia do Sul
Tiago,oitavas,Holanda
Tiago,oitavas,Alemanha
Tiago,oitavas,França
Tiago,oitavas,Brasil
Tiago,oitavas,Equador
Tiago,oitavas,México
Tiago,oitavas,Inglaterra
Tiago,oitavas,Colômbia
Tiago,oitavas,Espanha
Tiago,oitavas,Estados Unidos
Tiago,oitavas,Bélgica
Tiago,oitavas,Argentina
Tiago,oitavas,Turquia
Tiago,oitavas,Suíça
Tiago,oitavas,Portugal
Tiago,quartas,Alemanha
Tiago,quartas,Holanda
Tiago,quartas,Espanha
Tiago,quartas,Bélgica
Tiago,quartas,Brasil
Tiago,quartas,Inglaterra
Tiago,quartas,Argentina
Tiago,quartas,Portugal
Tiago,semi,Alemanha
Tiago,semi,Espanha
Tiago,semi,Inglaterra
Tiago,semi,Portugal
Tiago,terceiro_lugar,Alemanha
Tiago,terceiro_lugar,Inglaterra
Tiago,final,Espanha
Tiago,final,Portugal
