date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,13h,México,,2.0,x,1.0,,África do Sul,Cipriano L.,méxico-vs-áfrica_do_sul
2026-06-11,20h,Coréia do Sul,,1.0,x,1.0,,República Tcheca,Cipriano L.,coréia_do_sul-vs-república_tcheca
2026-06-12,15h,Canadá,,2.0,x,1.0,,Bósnia,Cipriano L.,canadá-vs-bósnia
2026-06-12,18h,Estados Unidos,,2.0,x,1.0,,Paraguai,Cipriano L.,estados_unidos-vs-paraguai
2026-06-13,12h,Catar,,0.0,x,2.0,,Suíça,Cipriano L.,catar-vs-suíça
2026-06-13,18h,Brasil,,1.0,x,1.0,,Marrocos,Cipriano L.,brasil-vs-marrocos
2026-06-13,21h,Haiti,,1.0,x,3.0,,Escócia,Cipriano L.,haiti-vs-escócia
2026-06-13,21h,Austrália,,1.0,x,3.0,,Turquia,Cipriano L.,austrália-vs-turquia
2026-06-14,12h,Alemanha,,5.0,x,0.0,,Curaçao,Cipriano L.,alemanha-vs-curaçao
2026-06-14,15h,Holanda,,3.0,x,1.0,,Japão,Cipriano L.,holanda-vs-japão
2026-06-14,19h,Costa do Marfim,,2.0,x,2.0,,Equador,Cipriano L.,costa_do_marfim-vs-equador
2026-06-14,20h,Suécia,,2.0,x,1.0,,Tunísia,Cipriano L.,suécia-vs-tunísia
2026-06-15,12h,Espanha,,5.0,x,0.0,,Cabo Verde,Cipriano L.,espanha-vs-cabo_verde
2026-06-15,12h,Bélgica,,2.0,x,0.0,,Egito,Cipriano L.,bélgica-vs-egito
2026-06-15,18h,Arábia Saudita,,1.0,x,2.0,,Uruguai,Cipriano L.,arábia_saudita-vs-uruguai
2026-06-15,18h,Irã,,3.0,x,0.0,,Nova Zelândia,Cipriano L.,irã-vs-nova_zelândia
2026-06-16,15h,França,,2.0,x,1.0,,Senegal,Cipriano L.,frança-vs-senegal
2026-06-16,18h,Iraque,,1.0,x,3.0,,Noruega,Cipriano L.,iraque-vs-noruega
2026-06-16,20h,Argentina,,2.0,x,1.0,,Argélia,Cipriano L.,argentina-vs-argélia
2026-06-16,21h,Áustria,,2.0,x,0.0,,Jordânia,Cipriano L.,áustria-vs-jordânia
2026-06-17,12h,Portugal,,3.0,x,0.0,,RD Congo,Cipriano L.,portugal-vs-rd_congo
2026-06-17,15h,Inglaterra,,3.0,x,2.0,,Croácia,Cipriano L.,inglaterra-vs-croácia
2026-06-17,19h,Gana,,2.0,x,1.0,,Panamá,Cipriano L.,gana-vs-panamá
