date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,13h,México,,2.0,x,0.0,,África do Sul,Ditchos,méxico-vs-áfrica_do_sul
2026-06-11,20h,Coréia do Sul,,1.0,x,2.0,,República Tcheca,Ditchos,coréia_do_sul-vs-república_tcheca
2026-06-12,15h,Canadá,,1.0,x,0.0,,Bósnia,Ditchos,canadá-vs-bósnia
2026-06-12,18h,Estados Unidos,,2.0,x,0.0,,Paraguai,Ditchos,estados_unidos-vs-paraguai
2026-06-13,12h,Catar,,0.0,x,2.0,,Suíça,Ditchos,catar-vs-suíça
2026-06-13,18h,Brasil,,1.0,x,1.0,,Marrocos,Ditchos,brasil-vs-marrocos
2026-06-13,21h,Haiti,,0.0,x,1.0,,Escócia,Ditchos,haiti-vs-escócia
2026-06-13,21h,Austrália,,1.0,x,2.0,,Turquia,Ditchos,austrália-vs-turquia
2026-06-14,12h,Alemanha,,4.0,x,0.0,,Curaçao,Ditchos,alemanha-vs-curaçao
2026-06-14,15h,Holanda,,1.0,x,1.0,,Japão,Ditchos,holanda-vs-japão
2026-06-14,19h,Costa do Marfim,,1.0,x,1.0,,Equador,Ditchos,costa_do_marfim-vs-equador
2026-06-14,20h,Suécia,,1.0,x,1.0,,Tunísia,Ditchos,suécia-vs-tunísia
2026-06-15,12h,Espanha,,3.0,x,0.0,,Cabo Verde,Ditchos,espanha-vs-cabo_verde
2026-06-15,12h,Bélgica,,2.0,x,0.0,,Egito,Ditchos,bélgica-vs-egito
2026-06-15,18h,Arábia Saudita,,0.0,x,1.0,,Uruguai,Ditchos,arábia_saudita-vs-uruguai
2026-06-15,18h,Irã,,1.0,x,0.0,,Nova Zelândia,Ditchos,irã-vs-nova_zelândia
2026-06-16,15h,França,,2.0,x,0.0,,Senegal,Ditchos,frança-vs-senegal
2026-06-16,18h,Iraque,,1.0,x,1.0,,Noruega,Ditchos,iraque-vs-noruega
2026-06-16,20h,Argentina,,3.0,x,0.0,,Argélia,Ditchos,argentina-vs-argélia
2026-06-16,21h,Áustria,,2.0,x,0.0,,Jordânia,Ditchos,áustria-vs-jordânia
2026-06-17,12h,Portugal,,2.0,x,0.0,,RD Congo,Ditchos,portugal-vs-rd_congo
2026-06-17,15h,Inglaterra,,1.0,x,1.0,,Croácia,Ditchos,inglaterra-vs-croácia
2026-06-17,19h,Gana,,1.0,x,1.0,,Panamá,Ditchos,gana-vs-panamá
2026-06-17,20h,Uzbequistão,,0.0,x,1.0,,Colômbia,Ditchos,uzbequistão-vs-colômbia
2026-06-18,12h,República Tcheca,,1.0,x,0.0,,África do Sul,Ditchos,república_tcheca-vs-áfrica_do_sul
2026-06-18,12h,Suíça,,2.0,x,1.0,,Bósnia,Ditchos,suíça-vs-bósnia
