date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,0.0,,África do Sul,Frederico Soter,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,3.0,x,1.0,,República Tcheca,Frederico Soter,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,2.0,x,2.0,,Bósnia,Frederico Soter,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,2.0,x,1.0,,Paraguai,Frederico Soter,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,1.0,x,4.0,,Suíça,Frederico Soter,catar-vs-suíça
2026-06-13,22h,Brasil,,2.0,x,2.0,,Marrocos,Frederico Soter,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,4.0,,Escócia,Frederico Soter,haiti-vs-escócia
2026-06-14,04h,Austrália,,1.0,x,3.0,,Turquia,Frederico Soter,austrália-vs-turquia
2026-06-14,17h,Alemanha,,3.0,x,1.0,,Curaçao,Frederico Soter,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,2.0,x,2.0,,Japão,Frederico Soter,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,3.0,x,1.0,,Equador,Frederico Soter,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,2.0,x,1.0,,Tunísia,Frederico Soter,suécia-vs-tunísia
2026-06-15,16h,Espanha,,7.0,x,0.0,,Cabo Verde,Frederico Soter,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,3.0,x,1.0,,Egito,Frederico Soter,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,1.0,x,3.0,,Uruguai,Frederico Soter,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,1.0,x,0.0,,Nova Zelândia,Frederico Soter,irã-vs-nova_zelândia
2026-06-16,19h,França,,3.0,x,1.0,,Senegal,Frederico Soter,frança-vs-senegal
2026-06-16,22h,Iraque,,1.0,x,1.0,,Noruega,Frederico Soter,iraque-vs-noruega
2026-06-17,01h,Argentina,,2.0,x,2.0,,Argélia,Frederico Soter,argentina-vs-argélia
2026-06-17,04h,Áustria,,3.0,x,1.0,,Jordânia,Frederico Soter,áustria-vs-jordânia
2026-06-17,17h,Portugal,,2.0,x,1.0,,RD Congo,Frederico Soter,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,3.0,x,2.0,,Croácia,Frederico Soter,inglaterra-vs-croácia
2026-06-17,23h,Gana,,2.0,x,0.0,,Panamá,Frederico Soter,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,1.0,x,3.0,,Colômbia,Frederico Soter,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,1.0,x,0.0,,África do Sul,Frederico Soter,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,2.0,x,0.0,,Bósnia,Frederico Soter,suíça-vs-bósnia
2026-06-18,22h,Canadá,,4.0,x,1.0,,Catar,Frederico Soter,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,2.0,,Coréia do Sul,Frederico Soter,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,3.0,x,1.0,,Austrália,Frederico Soter,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,2.0,x,3.0,,Marrocos,Frederico Soter,escócia-vs-marrocos
2026-06-20,01h,Brasil,,3.0,x,1.0,,Haiti,Frederico Soter,brasil-vs-haiti
2026-06-20,04h,Turquia,,3.0,x,1.0,,Paraguai,Frederico Soter,turquia-vs-paraguai
2026-06-20,17h,Holanda,,2.0,x,3.0,,Suécia,Frederico Soter,holanda-vs-suécia
