date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,0.0,,África do Sul,Gabão,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,1.0,x,0.0,,República Tcheca,Gabão,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,0.0,x,1.0,,Bósnia,Gabão,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,2.0,x,0.0,,Paraguai,Gabão,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,1.0,,Suíça,Gabão,catar-vs-suíça
2026-06-13,22h,Brasil,,1.0,x,0.0,,Marrocos,Gabão,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,1.0,,Escócia,Gabão,haiti-vs-escócia
2026-06-14,04h,Austrália,,0.0,x,1.0,,Turquia,Gabão,austrália-vs-turquia
2026-06-14,17h,Alemanha,,2.0,x,0.0,,Curaçao,Gabão,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,2.0,x,0.0,,Japão,Gabão,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,1.0,x,0.0,,Equador,Gabão,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,2.0,x,0.0,,Tunísia,Gabão,suécia-vs-tunísia
2026-06-15,16h,Espanha,,2.0,x,0.0,,Cabo Verde,Gabão,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,2.0,x,0.0,,Egito,Gabão,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,0.0,x,1.0,,Uruguai,Gabão,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,1.0,x,0.0,,Nova Zelândia,Gabão,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,0.0,,Senegal,Gabão,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,1.0,,Noruega,Gabão,iraque-vs-noruega
2026-06-17,01h,Argentina,,2.0,x,0.0,,Argélia,Gabão,argentina-vs-argélia
2026-06-17,04h,Áustria,,2.0,x,0.0,,Jordânia,Gabão,áustria-vs-jordânia
2026-06-17,17h,Portugal,,2.0,x,0.0,,RD Congo,Gabão,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,1.0,x,0.0,,Croácia,Gabão,inglaterra-vs-croácia
2026-06-17,23h,Gana,,2.0,x,0.0,,Panamá,Gabão,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,0.0,x,1.0,,Colômbia,Gabão,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,2.0,x,0.0,,África do Sul,Gabão,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,2.0,x,0.0,,Bósnia,Gabão,suíça-vs-bósnia
2026-06-18,22h,Canadá,,2.0,x,0.0,,Catar,Gabão,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,0.0,,Coréia do Sul,Gabão,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,2.0,x,0.0,,Austrália,Gabão,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,0.0,x,1.0,,Marrocos,Gabão,escócia-vs-marrocos
2026-06-20,01h,Brasil,,2.0,x,0.0,,Haiti,Gabão,brasil-vs-haiti
2026-06-20,04h,Turquia,,1.0,x,0.0,,Paraguai,Gabão,turquia-vs-paraguai
2026-06-20,17h,Holanda,,2.0,x,0.0,,Suécia,Gabão,holanda-vs-suécia
2026-06-20,20h,Alemanha,,2.0,x,0.0,,Costa do Marfim,Gabão,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,2.0,x,0.0,,Curaçao,Gabão,equador-vs-curaçao
2026-06-21,04h,Tunísia,,0.0,x,1.0,,Japão,Gabão,tunísia-vs-japão
2026-06-21,16h,Espanha,,2.0,x,0.0,,Arábia Saudita,Gabão,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,Gabão,bélgica-vs-irã
2026-06-21,22h,Uruguai,,2.0,x,0.0,,Cabo Verde,Gabão,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,1.0,,Egito,Gabão,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,0.0,,Áustria,Gabão,argentina-vs-áustria
2026-06-22,21h,França,,2.0,x,0.0,,Iraque,Gabão,frança-vs-iraque
2026-06-23,00h,Noruega,,2.0,x,0.0,,Senegal,Gabão,noruega-vs-senegal
2026-06-23,03h,Jordânia,,1.0,x,0.0,,Argélia,Gabão,jordânia-vs-argélia
2026-06-23,17h,Portugal,,2.0,x,0.0,,Uzbequistão,Gabão,portugal-vs-uzbequistão
2026-06-23,20h,Inglaterra,,2.0,x,0.0,,Gana,Gabão,inglaterra-vs-gana
2026-06-23,23h,Panamá,,0.0,x,1.0,,Croácia,Gabão,panamá-vs-croácia
2026-06-24,02h,Colômbia,,2.0,x,0.0,,RD Congo,Gabão,colômbia-vs-rd_congo
2026-06-24,19h,Suíça,,2.0,x,0.0,,Canadá,Gabão,suíça-vs-canadá
2026-06-24,19h,Bósnia,,2.0,x,0.0,,Catar,Gabão,bósnia-vs-catar
2026-06-24,22h,Escócia,,0.0,x,1.0,,Brasil,Gabão,escócia-vs-brasil
2026-06-24,22h,Marrocos,,2.0,x,0.0,,Haiti,Gabão,marrocos-vs-haiti
2026-06-25,01h,República Tcheca,,0.0,x,1.0,,México,Gabão,república_tcheca-vs-méxico
2026-06-25,01h,África do Sul,,0.0,x,1.0,,Coréia do Sul,Gabão,áfrica_do_sul-vs-coréia_do_sul
2026-06-25,20h,Curaçao,,0.0,x,1.0,,Costa do Marfim,Gabão,curaçao-vs-costa_do_marfim
2026-06-25,20h,Equador,,0.0,x,1.0,,Alemanha,Gabão,equador-vs-alemanha
2026-06-25,23h,Japão,,1.0,x,0.0,,Suécia,Gabão,japão-vs-suécia
2026-06-25,23h,Tunísia,,0.0,x,1.0,,Holanda,Gabão,tunísia-vs-holanda
2026-06-26,02h,Turquia,,0.0,x,1.0,,Estados Unidos,Gabão,turquia-vs-estados_unidos
2026-06-26,02h,Paraguai,,2.0,x,0.0,,Austrália,Gabão,paraguai-vs-austrália
2026-06-26,19h,Noruega,,0.0,x,1.0,,França,Gabão,noruega-vs-frança
2026-06-26,19h,Senegal,,2.0,x,0.0,,Iraque,Gabão,senegal-vs-iraque
2026-06-27,00h,Cabo Verde,,1.0,x,0.0,,Arábia Saudita,Gabão,cabo_verde-vs-arábia_saudita
2026-06-27,00h,Uruguai,,0.0,x,1.0,,Espanha,Gabão,uruguai-vs-espanha
2026-06-27,03h,Egito,,2.0,x,0.0,,Irã,Gabão,egito-vs-irã
2026-06-27,03h,Nova Zelândia,,0.0,x,1.0,,Bélgica,Gabão,nova_zelândia-vs-bélgica
2026-06-27,21h,Panamá,,0.0,x,1.0,,Inglaterra,Gabão,panamá-vs-inglaterra
2026-06-27,21h,Croácia,,2.0,x,0.0,,Gana,Gabão,croácia-vs-gana
2026-06-27,23h,Colômbia,,0.0,x,1.0,,Portugal,Gabão,colômbia-vs-portugal
2026-06-27,23h,RD Congo,,1.0,x,0.0,,Uzbequistão,Gabão,rd_congo-vs-uzbequistão
2026-06-28,02h,Argélia,,0.0,x,1.0,,Áustria,Gabão,argélia-vs-áustria
2026-06-28,02h,Jordânia,,0.0,x,1.0,,Argentina,Gabão,jordânia-vs-argentina
