date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,13h,México,,2.0,x,1.0,,África do Sul,Giancarlo,méxico-vs-áfrica_do_sul
2026-06-11,20h,Coréia do Sul,,0.0,x,0.0,,República Tcheca,Giancarlo,coréia_do_sul-vs-república_tcheca
2026-06-12,15h,Canadá,,0.0,x,0.0,,Bósnia,Giancarlo,canadá-vs-bósnia
2026-06-12,18h,Estados Unidos,,1.0,x,1.0,,Paraguai,Giancarlo,estados_unidos-vs-paraguai
2026-06-13,12h,Catar,,0.0,x,1.0,,Suíça,Giancarlo,catar-vs-suíça
2026-06-13,18h,Brasil,,2.0,x,1.0,,Marrocos,Giancarlo,brasil-vs-marrocos
2026-06-13,21h,Haiti,,0.0,x,3.0,,Escócia,Giancarlo,haiti-vs-escócia
2026-06-13,21h,Austrália,,1.0,x,3.0,,Turquia,Giancarlo,austrália-vs-turquia
2026-06-14,12h,Alemanha,,3.0,x,0.0,,Curaçao,Giancarlo,alemanha-vs-curaçao
2026-06-14,15h,Holanda,,2.0,x,1.0,,Japão,Giancarlo,holanda-vs-japão
2026-06-14,19h,Costa do Marfim,,1.0,x,2.0,,Equador,Giancarlo,costa_do_marfim-vs-equador
2026-06-14,20h,Suécia,,0.0,x,0.0,,Tunísia,Giancarlo,suécia-vs-tunísia
2026-06-15,12h,Espanha,,5.0,x,0.0,,Cabo Verde,Giancarlo,espanha-vs-cabo_verde
2026-06-15,12h,Bélgica,,2.0,x,1.0,,Egito,Giancarlo,bélgica-vs-egito
2026-06-15,18h,Arábia Saudita,,0.0,x,2.0,,Uruguai,Giancarlo,arábia_saudita-vs-uruguai
2026-06-15,18h,Irã,,1.0,x,0.0,,Nova Zelândia,Giancarlo,irã-vs-nova_zelândia
2026-06-16,15h,França,,6.0,x,0.0,,Senegal,Giancarlo,frança-vs-senegal
2026-06-16,18h,Iraque,,0.0,x,3.0,,Noruega,Giancarlo,iraque-vs-noruega
2026-06-16,20h,Argentina,,4.0,x,1.0,,Argélia,Giancarlo,argentina-vs-argélia
2026-06-16,21h,Áustria,,1.0,x,0.0,,Jordânia,Giancarlo,áustria-vs-jordânia
2026-06-17,12h,Portugal,,4.0,x,0.0,,RD Congo,Giancarlo,portugal-vs-rd_congo
2026-06-17,15h,Inglaterra,,1.0,x,2.0,,Croácia,Giancarlo,inglaterra-vs-croácia
2026-06-17,19h,Gana,,1.0,x,0.0,,Panamá,Giancarlo,gana-vs-panamá
2026-06-17,20h,Uzbequistão,,0.0,x,3.0,,Colômbia,Giancarlo,uzbequistão-vs-colômbia
2026-06-18,12h,República Tcheca,,1.0,x,2.0,,África do Sul,Giancarlo,república_tcheca-vs-áfrica_do_sul
2026-06-18,12h,Suíça,,2.0,x,0.0,,Bósnia,Giancarlo,suíça-vs-bósnia
2026-06-18,15h,Canadá,,1.0,x,0.0,,Catar,Giancarlo,canadá-vs-catar
2026-06-18,19h,México,,2.0,x,2.0,,Coréia do Sul,Giancarlo,méxico-vs-coréia_do_sul
2026-06-19,12h,Estados Unidos,,2.0,x,0.0,,Austrália,Giancarlo,estados_unidos-vs-austrália
2026-06-19,18h,Escócia,,1.0,x,2.0,,Marrocos,Giancarlo,escócia-vs-marrocos
2026-06-19,20h,Turquia,,2.0,x,1.0,,Paraguai,Giancarlo,turquia-vs-paraguai
2026-06-19,21h,Brasil,,5.0,x,0.0,,Haiti,Giancarlo,brasil-vs-haiti
2026-06-20,12h,Holanda,,3.0,x,0.0,,Suécia,Giancarlo,holanda-vs-suécia
2026-06-20,16h,Alemanha,,4.0,x,0.0,,Costa do Marfim,Giancarlo,alemanha-vs-costa_do_marfim
2026-06-20,19h,Equador,,2.0,x,0.0,,Curaçao,Giancarlo,equador-vs-curaçao
2026-06-20,22h,Tunísia,,0.0,x,2.0,,Japão,Giancarlo,tunísia-vs-japão
2026-06-21,12h,Espanha,,4.0,x,1.0,,Arábia Saudita,Giancarlo,espanha-vs-arábia_saudita
2026-06-21,12h,Bélgica,,3.0,x,0.0,,Irã,Giancarlo,bélgica-vs-irã
2026-06-21,18h,Nova Zelândia,,1.0,x,2.0,,Egito,Giancarlo,nova_zelândia-vs-egito
2026-06-21,18h,Uruguai,,3.0,x,0.0,,Cabo Verde,Giancarlo,uruguai-vs-cabo_verde
2026-06-22,12h,Argentina,,3.0,x,0.0,,Áustria,Giancarlo,argentina-vs-áustria
2026-06-22,17h,França,,4.0,x,1.0,,Iraque,Giancarlo,frança-vs-iraque
2026-06-22,20h,Noruega,,4.0,x,3.0,,Senegal,Giancarlo,noruega-vs-senegal
2026-06-22,20h,Jordânia,,0.0,x,1.0,,Argélia,Giancarlo,jordânia-vs-argélia
2026-06-23,12h,Portugal,,3.0,x,0.0,,Uzbequistão,Giancarlo,portugal-vs-uzbequistão
2026-06-23,16h,Inglaterra,,1.0,x,1.0,,Gana,Giancarlo,inglaterra-vs-gana
2026-06-23,19h,Panamá,,0.0,x,3.0,,Croácia,Giancarlo,panamá-vs-croácia
2026-06-23,20h,Colômbia,,4.0,x,0.0,,RD Congo,Giancarlo,colômbia-vs-rd_congo
2026-06-24,12h,Suíça,,3.0,x,2.0,,Canadá,Giancarlo,suíça-vs-canadá
2026-06-24,12h,Bósnia,,1.0,x,0.0,,Catar,Giancarlo,bósnia-vs-catar
2026-06-24,18h,Escócia,,0.0,x,3.0,,Brasil,Giancarlo,escócia-vs-brasil
2026-06-24,18h,Marrocos,,3.0,x,0.0,,Haiti,Giancarlo,marrocos-vs-haiti
2026-06-24,19h,República Tcheca,,0.0,x,1.0,,México,Giancarlo,república_tcheca-vs-méxico
2026-06-24,19h,África do Sul,,1.0,x,2.0,,Coréia do Sul,Giancarlo,áfrica_do_sul-vs-coréia_do_sul
2026-06-25,16h,Curaçao,,1.0,x,2.0,,Costa do Marfim,Giancarlo,curaçao-vs-costa_do_marfim
2026-06-25,16h,Equador,,1.0,x,3.0,,Alemanha,Giancarlo,equador-vs-alemanha
2026-06-25,18h,Japão,,2.0,x,0.0,,Suécia,Giancarlo,japão-vs-suécia
2026-06-25,18h,Tunísia,,1.0,x,3.0,,Holanda,Giancarlo,tunísia-vs-holanda
2026-06-25,19h,Paraguai,,3.0,x,0.0,,Austrália,Giancarlo,paraguai-vs-austrália
2026-06-25,19h,Turquia,,2.0,x,0.0,,Estados Unidos,Giancarlo,turquia-vs-estados_unidos
2026-06-26,15h,Senegal,,2.0,x,1.0,,Iraque,Giancarlo,senegal-vs-iraque
2026-06-26,15h,Noruega,,2.0,x,3.0,,França,Giancarlo,noruega-vs-frança
2026-06-26,18h,Uruguai,,2.0,x,4.0,,Espanha,Giancarlo,uruguai-vs-espanha
2026-06-26,19h,Cabo Verde,,1.0,x,2.0,,Arábia Saudita,Giancarlo,cabo_verde-vs-arábia_saudita
2026-06-26,20h,Nova Zelândia,,1.0,x,3.0,,Bélgica,Giancarlo,nova_zelândia-vs-bélgica
2026-06-26,20h,Egito,,3.0,x,1.0,,Irã,Giancarlo,egito-vs-irã
2026-06-27,17h,Panamá,,1.0,x,3.0,,Inglaterra,Giancarlo,panamá-vs-inglaterra
2026-06-27,17h,Croácia,,2.0,x,1.0,,Gana,Giancarlo,croácia-vs-gana
2026-06-27,19h,Colômbia,,1.0,x,2.0,,Portugal,Giancarlo,colômbia-vs-portugal
2026-06-27,19h,RD Congo,,2.0,x,2.0,,Uzbequistão,Giancarlo,rd_congo-vs-uzbequistão
2026-06-27,21h,Argélia,,0.0,x,1.0,,Áustria,Giancarlo,argélia-vs-áustria
2026-06-27,21h,Jordânia,,0.0,x,2.0,,Argentina,Giancarlo,jordânia-vs-argentina
