date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,1.0,x,1.0,,África do Sul,Guilherne,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,2.0,x,1.0,,República Tcheca,Guilherne,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,1.0,x,2.0,,Bósnia,Guilherne,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,1.0,x,2.0,,Paraguai,Guilherne,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,1.0,,Suíça,Guilherne,catar-vs-suíça
2026-06-13,22h,Brasil,,2.0,x,1.0,,Marrocos,Guilherne,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,1.0,,Escócia,Guilherne,haiti-vs-escócia
2026-06-14,04h,Austrália,,0.0,x,1.0,,Turquia,Guilherne,austrália-vs-turquia
2026-06-14,17h,Alemanha,,3.0,x,0.0,,Curaçao,Guilherne,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,2.0,x,0.0,,Japão,Guilherne,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,1.0,x,2.0,,Equador,Guilherne,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,2.0,x,1.0,,Tunísia,Guilherne,suécia-vs-tunísia
2026-06-15,16h,Espanha,,3.0,x,0.0,,Cabo Verde,Guilherne,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,2.0,x,1.0,,Egito,Guilherne,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,0.0,x,2.0,,Uruguai,Guilherne,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,1.0,x,1.0,,Nova Zelândia,Guilherne,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,0.0,,Senegal,Guilherne,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,2.0,,Noruega,Guilherne,iraque-vs-noruega
2026-06-17,01h,Argentina,,3.0,x,0.0,,Argélia,Guilherne,argentina-vs-argélia
2026-06-17,04h,Áustria,,1.0,x,0.0,,Jordânia,Guilherne,áustria-vs-jordânia
2026-06-17,17h,Portugal,,3.0,x,0.0,,RD Congo,Guilherne,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,2.0,x,1.0,,Croácia,Guilherne,inglaterra-vs-croácia
2026-06-17,23h,Gana,,1.0,x,0.0,,Panamá,Guilherne,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,0.0,x,2.0,,Colômbia,Guilherne,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,1.0,x,0.0,,África do Sul,Guilherne,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,1.0,x,0.0,,Bósnia,Guilherne,suíça-vs-bósnia
2026-06-18,22h,Canadá,,2.0,x,1.0,,Catar,Guilherne,canadá-vs-catar
2026-06-19,01h,México,,1.0,x,2.0,,Coréia do Sul,Guilherne,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,1.0,x,0.0,,Austrália,Guilherne,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,0.0,x,2.0,,Marrocos,Guilherne,escócia-vs-marrocos
2026-06-20,01h,Brasil,,3.0,x,0.0,,Haiti,Guilherne,brasil-vs-haiti
2026-06-20,04h,Turquia,,1.0,x,1.0,,Paraguai,Guilherne,turquia-vs-paraguai
2026-06-20,17h,Holanda,,2.0,x,0.0,,Suécia,Guilherne,holanda-vs-suécia
2026-06-20,20h,Alemanha,,2.0,x,0.0,,Costa do Marfim,Guilherne,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,2.0,x,0.0,,Curaçao,Guilherne,equador-vs-curaçao
2026-06-21,04h,Tunísia,,0.0,x,1.0,,Japão,Guilherne,tunísia-vs-japão
2026-06-21,16h,Espanha,,3.0,x,0.0,,Arábia Saudita,Guilherne,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,Guilherne,bélgica-vs-irã
2026-06-21,22h,Uruguai,,2.0,x,0.0,,Cabo Verde,Guilherne,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,1.0,,Egito,Guilherne,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,0.0,,Áustria,Guilherne,argentina-vs-áustria
2026-06-22,21h,França,,3.0,x,0.0,,Iraque,Guilherne,frança-vs-iraque
2026-06-23,00h,Noruega,,2.0,x,1.0,,Senegal,Guilherne,noruega-vs-senegal
2026-06-23,03h,Jordânia,,1.0,x,2.0,,Argélia,Guilherne,jordânia-vs-argélia
2026-06-23,17h,Portugal,,3.0,x,0.0,,Uzbequistão,Guilherne,portugal-vs-uzbequistão
2026-06-23,20h,Inglaterra,,2.0,x,0.0,,Gana,Guilherne,inglaterra-vs-gana
2026-06-23,23h,Panamá,,0.0,x,2.0,,Croácia,Guilherne,panamá-vs-croácia
2026-06-24,02h,Colômbia,,2.0,x,0.0,,RD Congo,Guilherne,colômbia-vs-rd_congo
2026-06-24,19h,Suíça,,1.0,x,0.0,,Canadá,Guilherne,suíça-vs-canadá
2026-06-24,19h,Bósnia,,2.0,x,0.0,,Catar,Guilherne,bósnia-vs-catar
2026-06-24,22h,Escócia,,0.0,x,2.0,,Brasil,Guilherne,escócia-vs-brasil
2026-06-24,22h,Marrocos,,2.0,x,0.0,,Haiti,Guilherne,marrocos-vs-haiti
2026-06-25,01h,República Tcheca,,1.0,x,2.0,,México,Guilherne,república_tcheca-vs-méxico
2026-06-25,01h,África do Sul,,1.0,x,2.0,,Coréia do Sul,Guilherne,áfrica_do_sul-vs-coréia_do_sul
2026-06-25,20h,Curaçao,,0.0,x,1.0,,Costa do Marfim,Guilherne,curaçao-vs-costa_do_marfim
2026-06-25,20h,Equador,,0.0,x,2.0,,Alemanha,Guilherne,equador-vs-alemanha
2026-06-25,23h,Japão,,1.0,x,0.0,,Suécia,Guilherne,japão-vs-suécia
2026-06-25,23h,Tunísia,,0.0,x,2.0,,Holanda,Guilherne,tunísia-vs-holanda
2026-06-26,02h,Turquia,,1.0,x,2.0,,Estados Unidos,Guilherne,turquia-vs-estados_unidos
