date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,13h,México,,2.0,x,1.0,,África do Sul,Haroldo,méxico-vs-áfrica_do_sul
2026-06-11,20h,Coréia do Sul,,2.0,x,1.0,,República Tcheca,Haroldo,coréia_do_sul-vs-república_tcheca
2026-06-12,15h,Canadá,,2.0,x,1.0,,Bósnia,Haroldo,canadá-vs-bósnia
2026-06-12,18h,Estados Unidos,,2.0,x,1.0,,Paraguai,Haroldo,estados_unidos-vs-paraguai
2026-06-13,12h,Catar,,0.0,x,2.0,,Suíça,Haroldo,catar-vs-suíça
2026-06-13,18h,Brasil,,3.0,x,1.0,,Marrocos,Haroldo,brasil-vs-marrocos
2026-06-13,21h,Haiti,,1.0,x,2.0,,Escócia,Haroldo,haiti-vs-escócia
2026-06-13,21h,Austrália,,1.0,x,2.0,,Turquia,Haroldo,austrália-vs-turquia
2026-06-14,12h,Alemanha,,6.0,x,0.0,,Curaçao,Haroldo,alemanha-vs-curaçao
2026-06-14,15h,Holanda,,2.0,x,1.0,,Japão,Haroldo,holanda-vs-japão
2026-06-14,19h,Costa do Marfim,,1.0,x,2.0,,Equador,Haroldo,costa_do_marfim-vs-equador
2026-06-14,20h,Suécia,,1.0,x,0.0,,Tunísia,Haroldo,suécia-vs-tunísia
2026-06-15,12h,Espanha,,6.0,x,0.0,,Cabo Verde,Haroldo,espanha-vs-cabo_verde
2026-06-15,12h,Bélgica,,3.0,x,0.0,,Egito,Haroldo,bélgica-vs-egito
2026-06-15,18h,Arábia Saudita,,1.0,x,2.0,,Uruguai,Haroldo,arábia_saudita-vs-uruguai
2026-06-15,18h,Irã,,2.0,x,1.0,,Nova Zelândia,Haroldo,irã-vs-nova_zelândia
2026-06-16,15h,França,,3.0,x,1.0,,Senegal,Haroldo,frança-vs-senegal
2026-06-16,18h,Iraque,,1.0,x,2.0,,Noruega,Haroldo,iraque-vs-noruega
2026-06-16,20h,Argentina,,4.0,x,0.0,,Argélia,Haroldo,argentina-vs-argélia
2026-06-16,21h,Áustria,,2.0,x,0.0,,Jordânia,Haroldo,áustria-vs-jordânia
2026-06-17,12h,Portugal,,5.0,x,0.0,,RD Congo,Haroldo,portugal-vs-rd_congo
2026-06-17,15h,Inglaterra,,1.0,x,1.0,,Croácia,Haroldo,inglaterra-vs-croácia
2026-06-17,19h,Gana,,2.0,x,0.0,,Panamá,Haroldo,gana-vs-panamá
2026-06-17,20h,Uzbequistão,,0.0,x,3.0,,Colômbia,Haroldo,uzbequistão-vs-colômbia
2026-06-18,12h,República Tcheca,,1.0,x,0.0,,África do Sul,Haroldo,república_tcheca-vs-áfrica_do_sul
2026-06-18,12h,Suíça,,1.0,x,0.0,,Bósnia,Haroldo,suíça-vs-bósnia
2026-06-18,15h,Canadá,,2.0,x,1.0,,Catar,Haroldo,canadá-vs-catar
2026-06-18,19h,México,,1.0,x,1.0,,Coréia do Sul,Haroldo,méxico-vs-coréia_do_sul
2026-06-19,12h,Estados Unidos,,2.0,x,1.0,,Austrália,Haroldo,estados_unidos-vs-austrália
