date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,0.0,,África do Sul,Lucas Ubertini,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,2.0,x,0.0,,República Tcheca,Lucas Ubertini,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,2.0,x,0.0,,Bósnia,Lucas Ubertini,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,2.0,x,0.0,,Paraguai,Lucas Ubertini,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,1.0,,Suíça,Lucas Ubertini,catar-vs-suíça
2026-06-13,22h,Brasil,,2.0,x,0.0,,Marrocos,Lucas Ubertini,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,1.0,,Escócia,Lucas Ubertini,haiti-vs-escócia
2026-06-14,04h,Austrália,,0.0,x,1.0,,Turquia,Lucas Ubertini,austrália-vs-turquia
2026-06-14,17h,Alemanha,,2.0,x,0.0,,Curaçao,Lucas Ubertini,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,1.0,x,0.0,,Japão,Lucas Ubertini,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,1.0,x,0.0,,Equador,Lucas Ubertini,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,2.0,x,0.0,,Tunísia,Lucas Ubertini,suécia-vs-tunísia
2026-06-15,16h,Espanha,,2.0,x,0.0,,Cabo Verde,Lucas Ubertini,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,2.0,x,0.0,,Egito,Lucas Ubertini,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,0.0,x,1.0,,Uruguai,Lucas Ubertini,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,2.0,x,0.0,,Nova Zelândia,Lucas Ubertini,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,0.0,,Senegal,Lucas Ubertini,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,1.0,,Noruega,Lucas Ubertini,iraque-vs-noruega
2026-06-17,01h,Argentina,,2.0,x,0.0,,Argélia,Lucas Ubertini,argentina-vs-argélia
2026-06-17,04h,Áustria,,2.0,x,0.0,,Jordânia,Lucas Ubertini,áustria-vs-jordânia
2026-06-17,17h,Portugal,,2.0,x,0.0,,RD Congo,Lucas Ubertini,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,2.0,x,0.0,,Croácia,Lucas Ubertini,inglaterra-vs-croácia
2026-06-17,23h,Gana,,0.0,x,1.0,,Panamá,Lucas Ubertini,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,0.0,x,1.0,,Colômbia,Lucas Ubertini,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,2.0,x,0.0,,África do Sul,Lucas Ubertini,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,2.0,x,0.0,,Bósnia,Lucas Ubertini,suíça-vs-bósnia
2026-06-18,22h,Canadá,,2.0,x,0.0,,Catar,Lucas Ubertini,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,0.0,,Coréia do Sul,Lucas Ubertini,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,2.0,x,0.0,,Austrália,Lucas Ubertini,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,0.0,x,1.0,,Marrocos,Lucas Ubertini,escócia-vs-marrocos
2026-06-20,01h,Brasil,,2.0,x,0.0,,Haiti,Lucas Ubertini,brasil-vs-haiti
2026-06-20,04h,Turquia,,2.0,x,0.0,,Paraguai,Lucas Ubertini,turquia-vs-paraguai
2026-06-20,17h,Holanda,,2.0,x,0.0,,Suécia,Lucas Ubertini,holanda-vs-suécia
2026-06-20,20h,Alemanha,,2.0,x,0.0,,Costa do Marfim,Lucas Ubertini,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,2.0,x,0.0,,Curaçao,Lucas Ubertini,equador-vs-curaçao
2026-06-21,04h,Tunísia,,0.0,x,1.0,,Japão,Lucas Ubertini,tunísia-vs-japão
2026-06-21,16h,Espanha,,2.0,x,0.0,,Arábia Saudita,Lucas Ubertini,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,Lucas Ubertini,bélgica-vs-irã
2026-06-21,22h,Uruguai,,2.0,x,0.0,,Cabo Verde,Lucas Ubertini,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,1.0,,Egito,Lucas Ubertini,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,0.0,,Áustria,Lucas Ubertini,argentina-vs-áustria
2026-06-22,21h,França,,2.0,x,0.0,,Iraque,Lucas Ubertini,frança-vs-iraque
