date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,0.0,,África do Sul,Marcelo Boix,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,2.0,x,1.0,,República Tcheca,Marcelo Boix,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,2.0,x,1.0,,Bósnia,Marcelo Boix,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,2.0,x,1.0,,Paraguai,Marcelo Boix,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,2.0,,Suíça,Marcelo Boix,catar-vs-suíça
2026-06-13,22h,Brasil,,1.0,x,0.0,,Marrocos,Marcelo Boix,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,2.0,,Escócia,Marcelo Boix,haiti-vs-escócia
2026-06-14,04h,Austrália,,1.0,x,2.0,,Turquia,Marcelo Boix,austrália-vs-turquia
2026-06-14,17h,Alemanha,,3.0,x,0.0,,Curaçao,Marcelo Boix,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,2.0,x,1.0,,Japão,Marcelo Boix,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,2.0,x,1.0,,Equador,Marcelo Boix,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,0.0,x,1.0,,Tunísia,Marcelo Boix,suécia-vs-tunísia
2026-06-15,16h,Espanha,,4.0,x,0.0,,Cabo Verde,Marcelo Boix,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,2.0,x,1.0,,Egito,Marcelo Boix,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,1.0,x,2.0,,Uruguai,Marcelo Boix,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,1.0,x,0.0,,Nova Zelândia,Marcelo Boix,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,0.0,,Senegal,Marcelo Boix,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,2.0,,Noruega,Marcelo Boix,iraque-vs-noruega
2026-06-17,01h,Argentina,,3.0,x,0.0,,Argélia,Marcelo Boix,argentina-vs-argélia
2026-06-17,04h,Áustria,,1.0,x,0.0,,Jordânia,Marcelo Boix,áustria-vs-jordânia
2026-06-17,17h,Portugal,,4.0,x,0.0,,RD Congo,Marcelo Boix,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,1.0,x,1.0,,Croácia,Marcelo Boix,inglaterra-vs-croácia
2026-06-17,23h,Gana,,2.0,x,0.0,,Panamá,Marcelo Boix,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,0.0,x,2.0,,Colômbia,Marcelo Boix,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,2.0,x,0.0,,África do Sul,Marcelo Boix,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,2.0,x,1.0,,Bósnia,Marcelo Boix,suíça-vs-bósnia
2026-06-18,22h,Canadá,,1.0,x,0.0,,Catar,Marcelo Boix,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,1.0,,Coréia do Sul,Marcelo Boix,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,2.0,x,1.0,,Austrália,Marcelo Boix,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,1.0,x,2.0,,Marrocos,Marcelo Boix,escócia-vs-marrocos
2026-06-20,01h,Brasil,,3.0,x,0.0,,Haiti,Marcelo Boix,brasil-vs-haiti
2026-06-20,04h,Turquia,,1.0,x,0.0,,Paraguai,Marcelo Boix,turquia-vs-paraguai
2026-06-20,17h,Holanda,,2.0,x,0.0,,Suécia,Marcelo Boix,holanda-vs-suécia
2026-06-20,20h,Alemanha,,2.0,x,1.0,,Costa do Marfim,Marcelo Boix,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,2.0,x,0.0,,Curaçao,Marcelo Boix,equador-vs-curaçao
2026-06-21,04h,Tunísia,,1.0,x,2.0,,Japão,Marcelo Boix,tunísia-vs-japão
2026-06-21,16h,Espanha,,3.0,x,0.0,,Arábia Saudita,Marcelo Boix,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,Marcelo Boix,bélgica-vs-irã
2026-06-21,22h,Uruguai,,3.0,x,0.0,,Cabo Verde,Marcelo Boix,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,1.0,,Egito,Marcelo Boix,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,1.0,,Áustria,Marcelo Boix,argentina-vs-áustria
2026-06-22,21h,França,,2.0,x,0.0,,Iraque,Marcelo Boix,frança-vs-iraque
2026-06-23,00h,Noruega,,2.0,x,1.0,,Senegal,Marcelo Boix,noruega-vs-senegal
2026-06-23,03h,Jordânia,,0.0,x,1.0,,Argélia,Marcelo Boix,jordânia-vs-argélia
2026-06-23,17h,Portugal,,3.0,x,0.0,,Uzbequistão,Marcelo Boix,portugal-vs-uzbequistão
2026-06-23,20h,Inglaterra,,2.0,x,1.0,,Gana,Marcelo Boix,inglaterra-vs-gana
2026-06-23,23h,Panamá,,0.0,x,2.0,,Croácia,Marcelo Boix,panamá-vs-croácia
