date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,13h,México,,3.0,x,1.0,,África do Sul,Mauricio Saraiva,méxico-vs-áfrica_do_sul
2026-06-11,20h,Coréia do Sul,,2.0,x,0.0,,República Tcheca,Mauricio Saraiva,coréia_do_sul-vs-república_tcheca
2026-06-12,15h,Canadá,,1.0,x,1.0,,Bósnia,Mauricio Saraiva,canadá-vs-bósnia
2026-06-12,18h,Estados Unidos,,2.0,x,2.0,,Paraguai,Mauricio Saraiva,estados_unidos-vs-paraguai
2026-06-13,12h,Catar,,0.0,x,3.0,,Suíça,Mauricio Saraiva,catar-vs-suíça
2026-06-13,18h,Brasil,,1.0,x,1.0,,Marrocos,Mauricio Saraiva,brasil-vs-marrocos
2026-06-13,21h,Haiti,,0.0,x,2.0,,Escócia,Mauricio Saraiva,haiti-vs-escócia
2026-06-13,21h,Austrália,,1.0,x,2.0,,Turquia,Mauricio Saraiva,austrália-vs-turquia
2026-06-14,12h,Alemanha,,5.0,x,1.0,,Curaçao,Mauricio Saraiva,alemanha-vs-curaçao
2026-06-14,15h,Holanda,,3.0,x,1.0,,Japão,Mauricio Saraiva,holanda-vs-japão
2026-06-14,19h,Costa do Marfim,,0.0,x,3.0,,Equador,Mauricio Saraiva,costa_do_marfim-vs-equador
2026-06-14,20h,Suécia,,2.0,x,0.0,,Tunísia,Mauricio Saraiva,suécia-vs-tunísia
2026-06-15,12h,Espanha,,4.0,x,1.0,,Cabo Verde,Mauricio Saraiva,espanha-vs-cabo_verde
2026-06-15,12h,Bélgica,,2.0,x,0.0,,Egito,Mauricio Saraiva,bélgica-vs-egito
2026-06-15,18h,Arábia Saudita,,1.0,x,3.0,,Uruguai,Mauricio Saraiva,arábia_saudita-vs-uruguai
2026-06-15,18h,Irã,,0.0,x,1.0,,Nova Zelândia,Mauricio Saraiva,irã-vs-nova_zelândia
2026-06-16,15h,França,,2.0,x,1.0,,Senegal,Mauricio Saraiva,frança-vs-senegal
2026-06-16,18h,Iraque,,0.0,x,3.0,,Noruega,Mauricio Saraiva,iraque-vs-noruega
2026-06-16,20h,Argentina,,1.0,x,1.0,,Argélia,Mauricio Saraiva,argentina-vs-argélia
2026-06-16,21h,Áustria,,2.0,x,1.0,,Jordânia,Mauricio Saraiva,áustria-vs-jordânia
2026-06-17,12h,Portugal,,2.0,x,0.0,,RD Congo,Mauricio Saraiva,portugal-vs-rd_congo
2026-06-17,15h,Inglaterra,,0.0,x,2.0,,Croácia,Mauricio Saraiva,inglaterra-vs-croácia
2026-06-17,19h,Gana,,3.0,x,1.0,,Panamá,Mauricio Saraiva,gana-vs-panamá
2026-06-17,20h,Uzbequistão,,0.0,x,3.0,,Colômbia,Mauricio Saraiva,uzbequistão-vs-colômbia
2026-06-18,12h,República Tcheca,,1.0,x,1.0,,África do Sul,Mauricio Saraiva,república_tcheca-vs-áfrica_do_sul
2026-06-18,12h,Suíça,,3.0,x,2.0,,Bósnia,Mauricio Saraiva,suíça-vs-bósnia
2026-06-18,15h,Canadá,,1.0,x,0.0,,Catar,Mauricio Saraiva,canadá-vs-catar
2026-06-18,19h,México,,4.0,x,2.0,,Coréia do Sul,Mauricio Saraiva,méxico-vs-coréia_do_sul
2026-06-19,12h,Estados Unidos,,1.0,x,1.0,,Austrália,Mauricio Saraiva,estados_unidos-vs-austrália
2026-06-19,18h,Escócia,,0.0,x,3.0,,Marrocos,Mauricio Saraiva,escócia-vs-marrocos
2026-06-19,20h,Turquia,,2.0,x,1.0,,Paraguai,Mauricio Saraiva,turquia-vs-paraguai
2026-06-19,21h,Brasil,,4.0,x,1.0,,Haiti,Mauricio Saraiva,brasil-vs-haiti
2026-06-20,12h,Holanda,,1.0,x,0.0,,Suécia,Mauricio Saraiva,holanda-vs-suécia
2026-06-20,16h,Alemanha,,4.0,x,1.0,,Costa do Marfim,Mauricio Saraiva,alemanha-vs-costa_do_marfim
2026-06-20,19h,Equador,,2.0,x,0.0,,Curaçao,Mauricio Saraiva,equador-vs-curaçao
2026-06-20,22h,Tunísia,,0.0,x,2.0,,Japão,Mauricio Saraiva,tunísia-vs-japão
2026-06-21,12h,Espanha,,2.0,x,1.0,,Arábia Saudita,Mauricio Saraiva,espanha-vs-arábia_saudita
2026-06-21,12h,Bélgica,,3.0,x,0.0,,Irã,Mauricio Saraiva,bélgica-vs-irã
2026-06-21,18h,Nova Zelândia,,1.0,x,3.0,,Egito,Mauricio Saraiva,nova_zelândia-vs-egito
2026-06-21,18h,Uruguai,,3.0,x,0.0,,Cabo Verde,Mauricio Saraiva,uruguai-vs-cabo_verde
2026-06-22,12h,Argentina,,3.0,x,0.0,,Áustria,Mauricio Saraiva,argentina-vs-áustria
2026-06-22,17h,França,,4.0,x,0.0,,Iraque,Mauricio Saraiva,frança-vs-iraque
2026-06-22,20h,Noruega,,1.0,x,3.0,,Senegal,Mauricio Saraiva,noruega-vs-senegal
2026-06-22,20h,Jordânia,,1.0,x,2.0,,Argélia,Mauricio Saraiva,jordânia-vs-argélia
2026-06-23,12h,Portugal,,2.0,x,0.0,,Uzbequistão,Mauricio Saraiva,portugal-vs-uzbequistão
2026-06-23,16h,Inglaterra,,0.0,x,1.0,,Gana,Mauricio Saraiva,inglaterra-vs-gana
2026-06-23,19h,Panamá,,0.0,x,3.0,,Croácia,Mauricio Saraiva,panamá-vs-croácia
