date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,0.0,,África do Sul,Pedro Tayer,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,1.0,x,1.0,,República Tcheca,Pedro Tayer,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,2.0,x,1.0,,Bósnia,Pedro Tayer,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,2.0,x,1.0,,Paraguai,Pedro Tayer,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,3.0,,Suíça,Pedro Tayer,catar-vs-suíça
2026-06-13,22h,Brasil,,3.0,x,1.0,,Marrocos,Pedro Tayer,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,2.0,,Escócia,Pedro Tayer,haiti-vs-escócia
2026-06-14,04h,Austrália,,0.0,x,2.0,,Turquia,Pedro Tayer,austrália-vs-turquia
2026-06-14,17h,Alemanha,,4.0,x,0.0,,Curaçao,Pedro Tayer,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,2.0,x,1.0,,Japão,Pedro Tayer,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,3.0,x,1.0,,Equador,Pedro Tayer,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,1.0,x,0.0,,Tunísia,Pedro Tayer,suécia-vs-tunísia
2026-06-15,16h,Espanha,,4.0,x,0.0,,Cabo Verde,Pedro Tayer,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,1.0,x,1.0,,Egito,Pedro Tayer,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,0.0,x,2.0,,Uruguai,Pedro Tayer,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,1.0,x,0.0,,Nova Zelândia,Pedro Tayer,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,0.0,,Senegal,Pedro Tayer,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,3.0,,Noruega,Pedro Tayer,iraque-vs-noruega
2026-06-17,01h,Argentina,,2.0,x,0.0,,Argélia,Pedro Tayer,argentina-vs-argélia
2026-06-17,04h,Áustria,,2.0,x,0.0,,Jordânia,Pedro Tayer,áustria-vs-jordânia
2026-06-17,17h,Portugal,,2.0,x,0.0,,RD Congo,Pedro Tayer,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,2.0,x,1.0,,Croácia,Pedro Tayer,inglaterra-vs-croácia
2026-06-17,23h,Gana,,1.0,x,0.0,,Panamá,Pedro Tayer,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,0.0,x,2.0,,Colômbia,Pedro Tayer,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,1.0,x,0.0,,África do Sul,Pedro Tayer,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,1.0,x,0.0,,Bósnia,Pedro Tayer,suíça-vs-bósnia
2026-06-18,22h,Canadá,,2.0,x,0.0,,Catar,Pedro Tayer,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,1.0,,Coréia do Sul,Pedro Tayer,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,1.0,x,0.0,,Austrália,Pedro Tayer,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,0.0,x,1.0,,Marrocos,Pedro Tayer,escócia-vs-marrocos
2026-06-20,01h,Brasil,,5.0,x,0.0,,Haiti,Pedro Tayer,brasil-vs-haiti
2026-06-20,04h,Turquia,,2.0,x,1.0,,Paraguai,Pedro Tayer,turquia-vs-paraguai
2026-06-20,17h,Holanda,,1.0,x,0.0,,Suécia,Pedro Tayer,holanda-vs-suécia
2026-06-20,20h,Alemanha,,2.0,x,2.0,,Costa do Marfim,Pedro Tayer,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,3.0,x,0.0,,Curaçao,Pedro Tayer,equador-vs-curaçao
2026-06-21,04h,Tunísia,,1.0,x,2.0,,Japão,Pedro Tayer,tunísia-vs-japão
2026-06-21,16h,Espanha,,3.0,x,0.0,,Arábia Saudita,Pedro Tayer,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,Pedro Tayer,bélgica-vs-irã
2026-06-21,22h,Uruguai,,2.0,x,0.0,,Cabo Verde,Pedro Tayer,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,1.0,,Egito,Pedro Tayer,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,1.0,,Áustria,Pedro Tayer,argentina-vs-áustria
2026-06-22,21h,França,,3.0,x,0.0,,Iraque,Pedro Tayer,frança-vs-iraque
2026-06-23,00h,Noruega,,3.0,x,1.0,,Senegal,Pedro Tayer,noruega-vs-senegal
2026-06-23,03h,Jordânia,,0.0,x,2.0,,Argélia,Pedro Tayer,jordânia-vs-argélia
2026-06-23,17h,Portugal,,2.0,x,0.0,,Uzbequistão,Pedro Tayer,portugal-vs-uzbequistão
2026-06-23,20h,Inglaterra,,2.0,x,0.0,,Gana,Pedro Tayer,inglaterra-vs-gana
2026-06-23,23h,Panamá,,0.0,x,2.0,,Croácia,Pedro Tayer,panamá-vs-croácia
2026-06-24,02h,Colômbia,,2.0,x,0.0,,RD Congo,Pedro Tayer,colômbia-vs-rd_congo
2026-06-24,19h,Suíça,,1.0,x,0.0,,Canadá,Pedro Tayer,suíça-vs-canadá
2026-06-24,19h,Bósnia,,2.0,x,0.0,,Catar,Pedro Tayer,bósnia-vs-catar
2026-06-24,22h,Escócia,,0.0,x,2.0,,Brasil,Pedro Tayer,escócia-vs-brasil
2026-06-24,22h,Marrocos,,5.0,x,0.0,,Haiti,Pedro Tayer,marrocos-vs-haiti
2026-06-25,01h,República Tcheca,,0.0,x,1.0,,México,Pedro Tayer,república_tcheca-vs-méxico
2026-06-25,01h,África do Sul,,0.0,x,1.0,,Coréia do Sul,Pedro Tayer,áfrica_do_sul-vs-coréia_do_sul
2026-06-25,20h,Curaçao,,0.0,x,3.0,,Costa do Marfim,Pedro Tayer,curaçao-vs-costa_do_marfim
2026-06-25,20h,Equador,,0.0,x,2.0,,Alemanha,Pedro Tayer,equador-vs-alemanha
2026-06-25,23h,Japão,,1.0,x,1.0,,Suécia,Pedro Tayer,japão-vs-suécia
2026-06-25,23h,Tunísia,,0.0,x,2.0,,Holanda,Pedro Tayer,tunísia-vs-holanda
2026-06-26,02h,Turquia,,2.0,x,1.0,,Estados Unidos,Pedro Tayer,turquia-vs-estados_unidos
2026-06-26,02h,Paraguai,,1.0,x,1.0,,Austrália,Pedro Tayer,paraguai-vs-austrália
2026-06-26,19h,Noruega,,0.0,x,1.0,,França,Pedro Tayer,noruega-vs-frança
2026-06-26,19h,Senegal,,2.0,x,0.0,,Iraque,Pedro Tayer,senegal-vs-iraque
2026-06-27,00h,Cabo Verde,,1.0,x,1.0,,Arábia Saudita,Pedro Tayer,cabo_verde-vs-arábia_saudita
2026-06-27,00h,Uruguai,,0.0,x,2.0,,Espanha,Pedro Tayer,uruguai-vs-espanha
2026-06-27,03h,Egito,,1.0,x,1.0,,Irã,Pedro Tayer,egito-vs-irã
2026-06-27,03h,Nova Zelândia,,0.0,x,2.0,,Bélgica,Pedro Tayer,nova_zelândia-vs-bélgica
2026-06-27,21h,Panamá,,0.0,x,2.0,,Inglaterra,Pedro Tayer,panamá-vs-inglaterra
2026-06-27,21h,Croácia,,1.0,x,0.0,,Gana,Pedro Tayer,croácia-vs-gana
2026-06-27,23h,Colômbia,,0.0,x,2.0,,Portugal,Pedro Tayer,colômbia-vs-portugal
2026-06-27,23h,RD Congo,,1.0,x,1.0,,Uzbequistão,Pedro Tayer,rd_congo-vs-uzbequistão
2026-06-28,02h,Argélia,,1.0,x,1.0,,Áustria,Pedro Tayer,argélia-vs-áustria
2026-06-28,02h,Jordânia,,0.0,x,3.0,,Argentina,Pedro Tayer,jordânia-vs-argentina
