date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,1.0,x,1.0,,África do Sul,Thales Oliveira,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,1.0,x,2.0,,República Tcheca,Thales Oliveira,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,1.0,x,2.0,,Bósnia,Thales Oliveira,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,1.0,x,2.0,,Paraguai,Thales Oliveira,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,3.0,,Suíça,Thales Oliveira,catar-vs-suíça
2026-06-13,22h,Brasil,,2.0,x,1.0,,Marrocos,Thales Oliveira,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,5.0,,Escócia,Thales Oliveira,haiti-vs-escócia
2026-06-14,04h,Austrália,,1.0,x,3.0,,Turquia,Thales Oliveira,austrália-vs-turquia
2026-06-14,17h,Alemanha,,5.0,x,0.0,,Curaçao,Thales Oliveira,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,3.0,x,2.0,,Japão,Thales Oliveira,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,2.0,x,1.0,,Equador,Thales Oliveira,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,1.0,x,0.0,,Tunísia,Thales Oliveira,suécia-vs-tunísia
2026-06-15,16h,Espanha,,5.0,x,0.0,,Cabo Verde,Thales Oliveira,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,3.0,x,1.0,,Egito,Thales Oliveira,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,1.0,x,3.0,,Uruguai,Thales Oliveira,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,2.0,x,0.0,,Nova Zelândia,Thales Oliveira,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,0.0,,Senegal,Thales Oliveira,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,3.0,,Noruega,Thales Oliveira,iraque-vs-noruega
2026-06-17,01h,Argentina,,3.0,x,0.0,,Argélia,Thales Oliveira,argentina-vs-argélia
2026-06-17,04h,Áustria,,2.0,x,0.0,,Jordânia,Thales Oliveira,áustria-vs-jordânia
2026-06-17,17h,Portugal,,2.0,x,0.0,,RD Congo,Thales Oliveira,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,1.0,x,0.0,,Croácia,Thales Oliveira,inglaterra-vs-croácia
2026-06-17,23h,Gana,,3.0,x,0.0,,Panamá,Thales Oliveira,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,1.0,x,4.0,,Colômbia,Thales Oliveira,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,1.0,x,1.0,,África do Sul,Thales Oliveira,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,1.0,x,1.0,,Bósnia,Thales Oliveira,suíça-vs-bósnia
2026-06-18,22h,Canadá,,3.0,x,0.0,,Catar,Thales Oliveira,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,1.0,,Coréia do Sul,Thales Oliveira,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,2.0,x,1.0,,Austrália,Thales Oliveira,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,1.0,x,2.0,,Marrocos,Thales Oliveira,escócia-vs-marrocos
2026-06-20,01h,Brasil,,6.0,x,0.0,,Haiti,Thales Oliveira,brasil-vs-haiti
2026-06-20,04h,Turquia,,2.0,x,1.0,,Paraguai,Thales Oliveira,turquia-vs-paraguai
2026-06-20,17h,Holanda,,2.0,x,0.0,,Suécia,Thales Oliveira,holanda-vs-suécia
2026-06-20,20h,Alemanha,,3.0,x,1.0,,Costa do Marfim,Thales Oliveira,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,3.0,x,0.0,,Curaçao,Thales Oliveira,equador-vs-curaçao
2026-06-21,04h,Tunísia,,0.0,x,1.0,,Japão,Thales Oliveira,tunísia-vs-japão
2026-06-21,16h,Espanha,,4.0,x,0.0,,Arábia Saudita,Thales Oliveira,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,Thales Oliveira,bélgica-vs-irã
2026-06-21,22h,Uruguai,,2.0,x,0.0,,Cabo Verde,Thales Oliveira,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,3.0,,Egito,Thales Oliveira,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,0.0,,Áustria,Thales Oliveira,argentina-vs-áustria
2026-06-22,21h,França,,4.0,x,0.0,,Iraque,Thales Oliveira,frança-vs-iraque
2026-06-23,00h,Noruega,,2.0,x,1.0,,Senegal,Thales Oliveira,noruega-vs-senegal
2026-06-23,03h,Jordânia,,1.0,x,2.0,,Argélia,Thales Oliveira,jordânia-vs-argélia
2026-06-23,17h,Portugal,,4.0,x,0.0,,Uzbequistão,Thales Oliveira,portugal-vs-uzbequistão
2026-06-23,20h,Inglaterra,,2.0,x,0.0,,Gana,Thales Oliveira,inglaterra-vs-gana
2026-06-23,23h,Panamá,,0.0,x,5.0,,Croácia,Thales Oliveira,panamá-vs-croácia
2026-06-24,02h,Colômbia,,1.0,x,1.0,,RD Congo,Thales Oliveira,colômbia-vs-rd_congo
2026-06-24,19h,Suíça,,1.0,x,0.0,,Canadá,Thales Oliveira,suíça-vs-canadá
2026-06-24,19h,Bósnia,,3.0,x,0.0,,Catar,Thales Oliveira,bósnia-vs-catar
2026-06-24,22h,Escócia,,0.0,x,2.0,,Brasil,Thales Oliveira,escócia-vs-brasil
2026-06-24,22h,Marrocos,,4.0,x,0.0,,Haiti,Thales Oliveira,marrocos-vs-haiti
2026-06-25,01h,República Tcheca,,1.0,x,0.0,,México,Thales Oliveira,república_tcheca-vs-méxico
2026-06-25,01h,África do Sul,,1.0,x,0.0,,Coréia do Sul,Thales Oliveira,áfrica_do_sul-vs-coréia_do_sul
2026-06-25,20h,Curaçao,,0.0,x,4.0,,Costa do Marfim,Thales Oliveira,curaçao-vs-costa_do_marfim
2026-06-25,20h,Equador,,1.0,x,3.0,,Alemanha,Thales Oliveira,equador-vs-alemanha
2026-06-25,23h,Japão,,2.0,x,1.0,,Suécia,Thales Oliveira,japão-vs-suécia
2026-06-25,23h,Tunísia,,0.0,x,1.0,,Holanda,Thales Oliveira,tunísia-vs-holanda
2026-06-26,02h,Turquia,,2.0,x,1.0,,Estados Unidos,Thales Oliveira,turquia-vs-estados_unidos
2026-06-26,02h,Paraguai,,2.0,x,0.0,,Austrália,Thales Oliveira,paraguai-vs-austrália
2026-06-26,19h,Noruega,,0.0,x,2.0,,França,Thales Oliveira,noruega-vs-frança
2026-06-26,19h,Senegal,,3.0,x,1.0,,Iraque,Thales Oliveira,senegal-vs-iraque
2026-06-27,00h,Cabo Verde,,2.0,x,1.0,,Arábia Saudita,Thales Oliveira,cabo_verde-vs-arábia_saudita
2026-06-27,00h,Uruguai,,0.0,x,2.0,,Espanha,Thales Oliveira,uruguai-vs-espanha
2026-06-27,03h,Egito,,2.0,x,1.0,,Irã,Thales Oliveira,egito-vs-irã
2026-06-27,03h,Nova Zelândia,,0.0,x,5.0,,Bélgica,Thales Oliveira,nova_zelândia-vs-bélgica
2026-06-27,21h,Panamá,,0.0,x,6.0,,Inglaterra,Thales Oliveira,panamá-vs-inglaterra
2026-06-27,21h,Croácia,,2.0,x,1.0,,Gana,Thales Oliveira,croácia-vs-gana
2026-06-27,23h,Colômbia,,1.0,x,2.0,,Portugal,Thales Oliveira,colômbia-vs-portugal
2026-06-27,23h,RD Congo,,3.0,x,1.0,,Uzbequistão,Thales Oliveira,rd_congo-vs-uzbequistão
2026-06-28,02h,Argélia,,1.0,x,2.0,,Áustria,Thales Oliveira,argélia-vs-áustria
2026-06-28,02h,Jordânia,,0.0,x,4.0,,Argentina,Thales Oliveira,jordânia-vs-argentina
