date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,home_pen_bol,away_pen_bol,home_pen_real,away_pen_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who
2026-06-11,19h,méxico-vs-áfrica_do_sul,México,África do Sul,2.0,1.0,,,,,,,2 x 1,México,,,Giancarlo
2026-06-12,02h,coréia_do_sul-vs-república_tcheca,Coréia do Sul,República Tcheca,0.0,0.0,,,,,,,0 x 0,empate,,,Giancarlo
2026-06-12,19h,canadá-vs-bósnia,Canadá,Bósnia,0.0,0.0,,,,,,,0 x 0,empate,,,Giancarlo
2026-06-13,01h,estados_unidos-vs-paraguai,Estados Unidos,Paraguai,1.0,1.0,,,,,,,1 x 1,empate,,,Giancarlo
2026-06-13,19h,catar-vs-suíça,Catar,Suíça,0.0,1.0,,,,,,,0 x 1,Suíça,,,Giancarlo
2026-06-13,22h,brasil-vs-marrocos,Brasil,Marrocos,2.0,1.0,,,,,,,2 x 1,Brasil,,,Giancarlo
2026-06-14,01h,haiti-vs-escócia,Haiti,Escócia,0.0,3.0,,,,,,,0 x 3,Escócia,,,Giancarlo
2026-06-14,04h,austrália-vs-turquia,Austrália,Turquia,1.0,3.0,,,,,,,1 x 3,Turquia,,,Giancarlo
2026-06-14,17h,alemanha-vs-curaçao,Alemanha,Curaçao,3.0,0.0,,,,,,,3 x 0,Alemanha,,,Giancarlo
2026-06-14,20h,holanda-vs-japão,Holanda,Japão,2.0,1.0,,,,,,,2 x 1,Holanda,,,Giancarlo
2026-06-14,23h,costa_do_marfim-vs-equador,Costa do Marfim,Equador,1.0,2.0,,,,,,,1 x 2,Equador,,,Giancarlo
2026-06-15,02h,suécia-vs-tunísia,Suécia,Tunísia,0.0,0.0,,,,,,,0 x 0,empate,,,Giancarlo
2026-06-15,16h,espanha-vs-cabo_verde,Espanha,Cabo Verde,5.0,0.0,,,,,,,5 x 0,Espanha,,,Giancarlo
2026-06-15,19h,bélgica-vs-egito,Bélgica,Egito,2.0,1.0,,,,,,,2 x 1,Bélgica,,,Giancarlo
2026-06-15,22h,arábia_saudita-vs-uruguai,Arábia Saudita,Uruguai,0.0,2.0,,,,,,,0 x 2,Uruguai,,,Giancarlo
2026-06-16,01h,irã-vs-nova_zelândia,Irã,Nova Zelândia,1.0,0.0,,,,,,,1 x 0,Irã,,,Giancarlo
2026-06-16,19h,frança-vs-senegal,França,Senegal,6.0,0.0,,,,,,,6 x 0,França,,,Giancarlo
2026-06-16,22h,iraque-vs-noruega,Iraque,Noruega,0.0,3.0,,,,,,,0 x 3,Noruega,,,Giancarlo
2026-06-17,01h,argentina-vs-argélia,Argentina,Argélia,4.0,1.0,,,,,,,4 x 1,Argentina,,,Giancarlo
2026-06-17,04h,áustria-vs-jordânia,Áustria,Jordânia,1.0,0.0,,,,,,,1 x 0,Áustria,,,Giancarlo
2026-06-17,17h,portugal-vs-rd_congo,Portugal,RD Congo,4.0,0.0,,,,,,,4 x 0,Portugal,,,Giancarlo
2026-06-17,20h,inglaterra-vs-croácia,Inglaterra,Croácia,1.0,2.0,,,,,,,1 x 2,Croácia,,,Giancarlo
2026-06-17,23h,gana-vs-panamá,Gana,Panamá,1.0,0.0,,,,,,,1 x 0,Gana,,,Giancarlo
2026-06-18,02h,uzbequistão-vs-colômbia,Uzbequistão,Colômbia,0.0,3.0,,,,,,,0 x 3,Colômbia,,,Giancarlo
2026-06-18,16h,república_tcheca-vs-áfrica_do_sul,República Tcheca,África do Sul,1.0,2.0,,,,,,,1 x 2,África do Sul,,,Giancarlo
2026-06-18,19h,suíça-vs-bósnia,Suíça,Bósnia,2.0,0.0,,,,,,,2 x 0,Suíça,,,Giancarlo
2026-06-18,22h,canadá-vs-catar,Canadá,Catar,1.0,0.0,,,,,,,1 x 0,Canadá,,,Giancarlo
2026-06-19,01h,méxico-vs-coréia_do_sul,México,Coréia do Sul,2.0,2.0,,,,,,,2 x 2,empate,,,Giancarlo
2026-06-19,19h,estados_unidos-vs-austrália,Estados Unidos,Austrália,2.0,0.0,,,,,,,2 x 0,Estados Unidos,,,Giancarlo
2026-06-19,22h,escócia-vs-marrocos,Escócia,Marrocos,1.0,2.0,,,,,,,1 x 2,Marrocos,,,Giancarlo
2026-06-20,01h,brasil-vs-haiti,Brasil,Haiti,5.0,0.0,,,,,,,5 x 0,Brasil,,,Giancarlo
2026-06-20,04h,turquia-vs-paraguai,Turquia,Paraguai,2.0,1.0,,,,,,,2 x 1,Turquia,,,Giancarlo
2026-06-20,17h,holanda-vs-suécia,Holanda,Suécia,3.0,0.0,,,,,,,3 x 0,Holanda,,,Giancarlo
2026-06-20,20h,alemanha-vs-costa_do_marfim,Alemanha,Costa do Marfim,4.0,0.0,,,,,,,4 x 0,Alemanha,,,Giancarlo
2026-06-21,00h,equador-vs-curaçao,Equador,Curaçao,2.0,0.0,,,,,,,2 x 0,Equador,,,Giancarlo
2026-06-21,04h,tunísia-vs-japão,Tunísia,Japão,0.0,2.0,,,,,,,0 x 2,Japão,,,Giancarlo
2026-06-21,16h,espanha-vs-arábia_saudita,Espanha,Arábia Saudita,4.0,1.0,,,,,,,4 x 1,Espanha,,,Giancarlo
2026-06-21,19h,bélgica-vs-irã,Bélgica,Irã,3.0,0.0,,,,,,,3 x 0,Bélgica,,,Giancarlo
2026-06-21,22h,uruguai-vs-cabo_verde,Uruguai,Cabo Verde,3.0,0.0,,,,,,,3 x 0,Uruguai,,,Giancarlo
2026-06-22,01h,nova_zelândia-vs-egito,Nova Zelândia,Egito,1.0,2.0,,,,,,,1 x 2,Egito,,,Giancarlo
2026-06-22,17h,argentina-vs-áustria,Argentina,Áustria,3.0,0.0,,,,,,,3 x 0,Argentina,,,Giancarlo
2026-06-22,21h,frança-vs-iraque,França,Iraque,4.0,1.0,,,,,,,4 x 1,França,,,Giancarlo
2026-06-23,00h,noruega-vs-senegal,Noruega,Senegal,4.0,3.0,,,,,,,4 x 3,Noruega,,,Giancarlo
2026-06-23,03h,jordânia-vs-argélia,Jordânia,Argélia,0.0,1.0,,,,,,,0 x 1,Argélia,,,Giancarlo
2026-06-23,17h,portugal-vs-uzbequistão,Portugal,Uzbequistão,3.0,0.0,,,,,,,3 x 0,Portugal,,,Giancarlo
2026-06-23,20h,inglaterra-vs-gana,Inglaterra,Gana,1.0,1.0,,,,,,,1 x 1,empate,,,Giancarlo
2026-06-23,23h,panamá-vs-croácia,Panamá,Croácia,0.0,3.0,,,,,,,0 x 3,Croácia,,,Giancarlo
2026-06-24,02h,colômbia-vs-rd_congo,Colômbia,RD Congo,4.0,0.0,,,,,,,4 x 0,Colômbia,,,Giancarlo
